"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"09/10/2019 08:08:52","-1:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,MRs6EU
2714704,"09/10/2019 08:08:51","-1:00","System","Logs","Exporting a log.",,sCXxle
2714705,"09/10/2019 08:08:56","-1:00",,"Recipe","Loading recipe number 3 ( 5mL Production ) on the interface.",,1L7r2r
2714706,"09/10/2019 08:08:57","-1:00",,"Recipe","Data trasfered to PLC",,eY4u8Y
2714707,"09/10/2019 08:08:57","-1:00",,"Warning","ALARM OZONE SENSOR  On",,c6/FDi
2714708,"09/10/2019 08:08:57","-1:00",,"Warning","PVSI NOT RUNNING   On",,oyY1fF
2714709,"09/10/2019 08:08:57","-1:00",,"Warning","WARNING EMPTY PROGRAM ACTIVATED  On",,Eup5vx
2714710,"09/10/2019 08:08:57","-1:00",,"Alarm","EMERGENCY  On",,2CkE0a
2714711,"09/10/2019 08:08:57","-1:00",,"Alarm","COVER OPEN 2  On",,L+i1pW
2714712,"09/10/2019 08:08:57","-1:00",,"Alarm","COVER OPEN 3  On",,W1sAGy
2714713,"09/10/2019 08:08:57","-1:00",,"Alarm","COVER OPEN 5  On",,UEU+CF
2714714,"09/10/2019 08:08:57","-1:00",,"Alarm","COVER OPEN 6  On",,cB3e05
2714715,"09/10/2019 08:08:57","-1:00",,"Alarm","COVER OPEN 7  On",,wKRZeN
2714716,"09/10/2019 08:08:57","-1:00",,"Alarm","ALARM SAFETY CLUTCH LOADING STARWHEEL  On",,A4qcrH
2714717,"09/10/2019 08:08:57","-1:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  On",,7k9ALF
2714718,"09/10/2019 08:08:57","-1:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   On",,twFvhM
2714719,"09/10/2019 08:08:57","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,sZAAzR
2714720,"09/10/2019 08:08:57","-1:00",,"Alarm","ALARM ROTATION MOTOR 1  On",,O5qE3t
2714721,"09/10/2019 08:08:57","-1:00",,"Alarm","ALARM ROTATION MOTOR 2  On",,5aV4F1
2714722,"09/10/2019 08:08:57","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  On",,QExVn9
2714723,"09/10/2019 08:08:57","-1:00",,"Alarm","ALARM MISSING ST0 TIP REJECTED TRAYS   On",,/Sgvru
2714724,"09/10/2019 08:08:57","-1:00",,"Alarm","ALARM MISSING LKD REJECTED TRAYS   On",,f9Duj5
2714725,"09/10/2019 08:08:57","-1:00",,"Alarm","PVSI NOT READY  On",,Arrh36
2714726,"09/10/2019 08:08:57","-1:00",,"Alarm","PVSI AND WINCC PRODUCT DIFFERENT  On",,7pxcQf
2714727,"09/10/2019 08:08:57","-1:00",,"Alarm","Alarm profibus nodo 3 (encoder)  On",,Sdfhmm
2714728,"09/10/2019 08:08:57","-1:00",,"Alarm","Alarm profibus nodo 4 (PC)  On",,jTvu+y
2714729,"09/10/2019 08:08:57","-1:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,yuzrrR
2714730,"09/10/2019 08:09:01","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  Off",,J8bvMh
2714731,"09/10/2019 08:10:41","-1:00","System","User administration","User 'barbaram' logged on with group 'Operator'.",,1VY5Bn
2714732,"09/10/2019 08:10:54","-1:00","barbaram","Warning","PVSI NOT RUNNING   Off",,kfl+xA
2714733,"09/10/2019 08:14:12","-1:00","barbaram","Warning","ALARM OZONE SENSOR  Off",,QsiRYI
2714734,"09/10/2019 08:14:12","-1:00","barbaram","Alarm","COVER OPEN 2  Off",,IYdNDz
2714735,"09/10/2019 08:14:12","-1:00","barbaram","Alarm","COVER OPEN 3  Off",,SIaKHe
2714736,"09/10/2019 08:14:12","-1:00","barbaram","Alarm","COVER OPEN 5  Off",,3XBqnz
2714737,"09/10/2019 08:14:12","-1:00","barbaram","Alarm","COVER OPEN 6  Off",,2U8LY7
2714738,"09/10/2019 08:14:12","-1:00","barbaram","Alarm","COVER OPEN 7  Off",,rtfkrL
