"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"31/03/2017 09:51:16","-2:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,pA2l+k
107151,"31/03/2017 09:51:16","-2:00","System","Logs","Exporting a log.",,PlA63A
107152,"31/03/2017 09:51:20","-2:00",,"Recipe","Loading recipe number 2 ( Production 2ml ) on the interface.",,7wIVWX
107153,"31/03/2017 09:51:21","-2:00",,"Recipe","Data trasfered to PLC",,Kb8ZEo
107154,"31/03/2017 09:51:21","-2:00",,"Warning","ALARM OZONE SENSOR  On",,ftC5pJ
107155,"31/03/2017 09:51:21","-2:00",,"Warning","PVSI NOT RUNNING   On",,jrnSL/
107156,"31/03/2017 09:51:21","-2:00",,"Warning","WARNING EMPTY PROGRAM ACTIVATED  On",,CF+uLv
107157,"31/03/2017 09:51:21","-2:00",,"Alarm","EMERGENCY  On",,2OWwg9
107158,"31/03/2017 09:51:21","-2:00",,"Alarm","ALARM SAFETY CLUTCH LOADING STARWHEEL  On",,godpvr
107159,"31/03/2017 09:51:21","-2:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  On",,D//Tqe
107160,"31/03/2017 09:51:21","-2:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   On",,kJSig6
107161,"31/03/2017 09:51:21","-2:00",,"Alarm","ALARM MAIN MOTOR  On",,riQzXz
107162,"31/03/2017 09:51:21","-2:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,ffoyro
107163,"31/03/2017 09:51:21","-2:00",,"Alarm","ALARM ROTATION MOTOR 1  On",,4kQEpw
107164,"31/03/2017 09:51:21","-2:00",,"Alarm","ALARM ROTATION MOTOR 2  On",,0ce/5K
107165,"31/03/2017 09:51:21","-2:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  On",,60S1o7
107166,"31/03/2017 09:51:21","-2:00",,"Alarm","ALARM DATA VALID  On",,ccJEAS
107167,"31/03/2017 09:51:21","-2:00",,"Alarm","ALARM MISSING ST0 TIP REJECTED TRAYS   On",,3hgOI2
107168,"31/03/2017 09:51:21","-2:00",,"Alarm","ALARM MISSING LKD REJECTED TRAYS   On",,iMIjs3
107169,"31/03/2017 09:51:21","-2:00",,"Alarm","PVSI NOT READY  On",,QriAJS
107170,"31/03/2017 09:51:21","-2:00",,"Alarm","PVSI AND WINCC PRODUCT DIFFERENT  On",,73JNd4
107171,"31/03/2017 09:51:21","-2:00",,"Alarm","Alarm profibus nodo 3 (encoder)  On",,V81wBy
107172,"31/03/2017 09:51:21","-2:00",,"Alarm","Alarm profibus nodo 4 (PC)  On",,14amtb
107173,"31/03/2017 09:51:21","-2:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,RHbrpJ
107174,"31/03/2017 09:51:25","-2:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  Off",,m11jJE
107175,"31/03/2017 09:51:35","-2:00","System","User administration","User 'simonb' logged on with group 'Supervisor'.",,TnwhKR
107176,"31/03/2017 09:51:48","-2:00","simonb","Warning","PVSI NOT RUNNING   Off",,XFEsdM
107177,"31/03/2017 09:52:03","-2:00","simonb","Recipe","Loading recipe number 2 ( Production 2ml ) on the interface.",,ChAsMo
107178,"31/03/2017 09:52:03","-2:00","simonb","Recipe","Data trasfered to PLC",,zAOJUC
107179,"31/03/2017 09:52:06","-2:00","simonb","Warning","PVSI NOT RUNNING   On",,BamcSm
107180,"31/03/2017 09:52:07","-2:00","simonb","Warning","PVSI NOT RUNNING   Off",,ZBFiRv
107181,"31/03/2017 09:52:11","-2:00","simonb","Alarm: 1135","Acknowledgment of 1135 alarm from PLC MCA200+LKD; the cited messages is part of alarm group 1.",,2vnwSf
107182,"31/03/2017 09:52:11","-2:00","simonb","Alarm:","EMERGENCY  Acknowledgment",,hnJo0M
107183,"31/03/2017 09:52:11","-2:00","simonb","Alarm:","ALARM SAFETY CLUTCH LOADING STARWHEEL  Acknowledgment",,PYDj64
107184,"31/03/2017 09:52:11","-2:00","simonb","Alarm:","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  Acknowledgment",,Jz2iin
107185,"31/03/2017 09:52:11","-2:00","simonb","Alarm:","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   Acknowledgment",,k0DPVt
107186,"31/03/2017 09:52:11","-2:00","simonb","Alarm:","ALARM MAIN MOTOR  Acknowledgment",,Y7wUA1
107187,"31/03/2017 09:52:11","-2:00","simonb","Alarm:","ALARM INFEED BELT MOTOR  Acknowledgment",,doWfAy
107188,"31/03/2017 09:52:11","-2:00","simonb","Alarm:","ALARM ROTATION MOTOR 1  Acknowledgment",,vkvza3
107189,"31/03/2017 09:52:11","-2:00","simonb","Alarm:","ALARM ROTATION MOTOR 2  Acknowledgment",,S+Locg
107190,"31/03/2017 09:52:11","-2:00","simonb","Alarm:","ALARM MISSING COMUNICATION WITH INTERFACE  Acknowledgment",,Edid/A
107191,"31/03/2017 09:52:11","-2:00","simonb","Alarm:","ALARM DATA VALID  Acknowledgment",,jVSpF/
107192,"31/03/2017 09:52:11","-2:00","simonb","Alarm:","ALARM MISSING ST0 TIP REJECTED TRAYS   Acknowledgment",,KqzWl+
