"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"13/12/2017 08:43:24","+0:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,QhZHB7
273484,"13/12/2017 08:43:24","+0:00","System","Logs","Exporting a log.",,Yw0XyI
273485,"13/12/2017 08:43:33","+0:00",,"Recipe","Loading recipe number 4 ( Production 10ml ) on the interface.",,Q5Y1Mm
273486,"13/12/2017 08:43:34","+0:00",,"Recipe","Data trasfered to PLC",,Aedu+F
273487,"13/12/2017 08:43:34","+0:00",,"Warning","ALARM OZONE SENSOR  On",,MIuTdQ
273488,"13/12/2017 08:43:34","+0:00",,"Warning","PVSI NOT RUNNING   On",,JJlJTn
273489,"13/12/2017 08:43:34","+0:00",,"Warning","WARNING EMPTY PROGRAM ACTIVATED  On",,F9tejV
273490,"13/12/2017 08:43:34","+0:00",,"Warning","WARNING ACCEPTED TRAY ALMOST FULL  On",,u0b7DH
273491,"13/12/2017 08:43:34","+0:00",,"Alarm","EMERGENCY  On",,3+QOsb
273492,"13/12/2017 08:43:34","+0:00",,"Alarm","COVER OPEN 2  On",,w/IsLf
273493,"13/12/2017 08:43:34","+0:00",,"Alarm","COVER OPEN 3  On",,1VrXdF
273494,"13/12/2017 08:43:34","+0:00",,"Alarm","COVER OPEN 5  On",,g1SnDT
273495,"13/12/2017 08:43:34","+0:00",,"Alarm","COVER OPEN 6  On",,mCQD25
273496,"13/12/2017 08:43:34","+0:00",,"Alarm","COVER OPEN 7  On",,oGFrjh
273497,"13/12/2017 08:43:34","+0:00",,"Alarm","ALARM SAFETY CLUTCH LOADING STARWHEEL  On",,iY7bRU
273498,"13/12/2017 08:43:34","+0:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  On",,Vy5+bF
273499,"13/12/2017 08:43:34","+0:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   On",,9WNwCe
273500,"13/12/2017 08:43:34","+0:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,sCnlWV
273501,"13/12/2017 08:43:34","+0:00",,"Alarm","ALARM ROTATION MOTOR 1  On",,LMy3wp
273502,"13/12/2017 08:43:34","+0:00",,"Alarm","ALARM ROTATION MOTOR 2  On",,8ZpeoH
273503,"13/12/2017 08:43:34","+0:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  On",,4hadnx
273504,"13/12/2017 08:43:34","+0:00",,"Alarm","ALARM MISSING ST0 TIP REJECTED TRAYS   On",,6hzLh2
273505,"13/12/2017 08:43:34","+0:00",,"Alarm","ALARM MISSING LKD REJECTED TRAYS   On",,an6seJ
273506,"13/12/2017 08:43:34","+0:00",,"Alarm","PVSI NOT READY  On",,j+Pgy3
