"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"04/04/2019 15:03:10","-1:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,b+z8Q5
561361,"04/04/2019 15:03:09","-1:00","System","Logs","Exporting a log.",,3D4D2K
561362,"04/04/2019 15:03:15","-1:00",,"Recipe","Loading recipe number 10 ( Charring 1ml Product ) on the interface.",,h1qsYO
561363,"04/04/2019 15:03:16","-1:00",,"Recipe","Data trasfered to PLC",,gGnCA0
561364,"04/04/2019 15:03:16","-1:00",,"Warning","ALARM OZONE SENSOR  On",,7mhZfq
561365,"04/04/2019 15:03:16","-1:00",,"Warning","PVSI NOT RUNNING   On",,PMgM/1
561366,"04/04/2019 15:03:16","-1:00",,"Warning","WARNING EMPTY PROGRAM ACTIVATED  On",,L+8VUT
561367,"04/04/2019 15:03:16","-1:00",,"Alarm","EMERGENCY  On",,3NhGly
561368,"04/04/2019 15:03:16","-1:00",,"Alarm","COVER OPEN 2  On",,wfCsMm
561369,"04/04/2019 15:03:16","-1:00",,"Alarm","COVER OPEN 3  On",,4AmFUW
561370,"04/04/2019 15:03:16","-1:00",,"Alarm","COVER OPEN 5  On",,tVb6/G
561371,"04/04/2019 15:03:16","-1:00",,"Alarm","COVER OPEN 6  On",,OoJbYf
561372,"04/04/2019 15:03:16","-1:00",,"Alarm","COVER OPEN 7  On",,7+R5qW
561373,"04/04/2019 15:03:16","-1:00",,"Alarm","ALARM SAFETY CLUTCH LOADING STARWHEEL  On",,EeapXw
561374,"04/04/2019 15:03:16","-1:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  On",,14rvYb
561375,"04/04/2019 15:03:16","-1:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   On",,kScBRY
561376,"04/04/2019 15:03:16","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,lLSzyp
561377,"04/04/2019 15:03:16","-1:00",,"Alarm","ALARM ROTATION MOTOR 1  On",,drzNAk
561378,"04/04/2019 15:03:16","-1:00",,"Alarm","ALARM ROTATION MOTOR 2  On",,QlC+mP
561379,"04/04/2019 15:03:16","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  On",,Olesjk
561380,"04/04/2019 15:03:16","-1:00",,"Alarm","ALARM MISSING ST0 TIP REJECTED TRAYS   On",,aRVWmU
561381,"04/04/2019 15:03:16","-1:00",,"Alarm","ALARM MISSING LKD REJECTED TRAYS   On",,4+a217
561382,"04/04/2019 15:03:16","-1:00",,"Alarm","PVSI NOT READY  On",,ph6wp6
561383,"04/04/2019 15:03:16","-1:00",,"Alarm","PVSI AND WINCC PRODUCT DIFFERENT  On",,lXDJM8
561384,"04/04/2019 15:03:16","-1:00",,"Alarm","Alarm profibus nodo 3 (encoder)  On",,5nCmaW
561385,"04/04/2019 15:03:16","-1:00",,"Alarm","Alarm profibus nodo 4 (PC)  On",,2x/X33
561386,"04/04/2019 15:03:16","-1:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,LTEUV3
561387,"04/04/2019 15:03:20","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  Off",,8pxE4R
561388,"05/04/2019 07:49:18","-1:00",,"Alarm","COVER OPEN 1  On",,VAY+yR
561389,"05/04/2019 08:35:34","-1:00",,"Warning","ALARM OZONE SENSOR  Off",,8WgcUv
561390,"05/04/2019 08:35:34","-1:00",,"Alarm","COVER OPEN 5  Off",,f0qR+u
561391,"05/04/2019 08:35:34","-1:00",,"Alarm","ALARM SAFETY CLUTCH LOADING STARWHEEL  Off",,qFzL0P
561392,"05/04/2019 08:35:34","-1:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  Off",,+Khpb4
561393,"05/04/2019 08:35:34","-1:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   Off",,t5RDhd
561394,"05/04/2019 08:35:34","-1:00",,"Alarm","ALARM ROTATION MOTOR 1  Off",,aRJHj9
561395,"05/04/2019 08:35:34","-1:00",,"Alarm","ALARM ROTATION MOTOR 2  Off",,trsSO8
561396,"05/04/2019 08:35:34","-1:00",,"Alarm","ALARM MISSING ST0 TIP REJECTED TRAYS   Off",,uTs7my
561397,"05/04/2019 08:35:34","-1:00",,"Alarm","ALARM MISSING LKD REJECTED TRAYS   Off",,Y8qvpT
561398,"05/04/2019 08:35:34","-1:00",,"Alarm","Alarm profibus nodo 3 (encoder)  Off",,ElfVAC
561399,"05/04/2019 08:35:34","-1:00",,"Alarm","Alarm profibus nodo 4 (PC)  Off",,cUaZQf
561400,"05/04/2019 08:51:37","-1:00","System","User administration","User 'steveg' has unsuccessfully attempted to log on 1 times in succession.",,o2EDyg
561401,"05/04/2019 08:51:48","-1:00","System","User administration","User 'steveg' has unsuccessfully attempted to log on 2 times in succession.",,MQziBt
561402,"05/04/2019 08:52:02","-1:00","System","User administration","User 'simonm' logged on with group 'Supervisor'.",,X7eTNL
561403,"05/04/2019 08:52:08","-1:00","simonm","Alarm: 2","Acknowledgment of 2 alarm from PLC MCA200+LKD; the cited messages is part of alarm group 1.",,/KHx+s
561404,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","EMERGENCY  Acknowledgment",,blLFZ8
561405,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","COVER OPEN 2  Acknowledgment",,IkEIBT
561406,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","COVER OPEN 3  Acknowledgment",,Z2GU0q
561407,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","COVER OPEN 5  Acknowledgment",,jb88Z3
561408,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","COVER OPEN 6  Acknowledgment",,1DlIzm
561409,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","COVER OPEN 7  Acknowledgment",,MhvV+f
561410,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","ALARM SAFETY CLUTCH LOADING STARWHEEL  Acknowledgment",,/gX+5/
561411,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  Acknowledgment",,TFLKhq
561412,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   Acknowledgment",,7v5a+6
561413,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","ALARM INFEED BELT MOTOR  Acknowledgment",,D6OXjx
561414,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","ALARM ROTATION MOTOR 1  Acknowledgment",,qEwIzm
561415,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","ALARM ROTATION MOTOR 2  Acknowledgment",,pcLL0C
561416,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","ALARM MISSING COMUNICATION WITH INTERFACE  Acknowledgment",,RE2ssC
561417,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","ALARM MISSING ST0 TIP REJECTED TRAYS   Acknowledgment",,QVq21l
561418,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","ALARM MISSING LKD REJECTED TRAYS   Acknowledgment",,Gtr1yU
561419,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","PVSI NOT READY  Acknowledgment",,kPX6ZS
561420,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","PVSI AND WINCC PRODUCT DIFFERENT  Acknowledgment",,kTOcDK
561421,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","Alarm profibus nodo 3 (encoder)  Acknowledgment",,6xkGKI
561422,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","Alarm profibus nodo 4 (PC)  Acknowledgment",,CRWox1
561423,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","WARNING MISSING LOGIN OPERATION  Acknowledgment",,trb/mK
561424,"05/04/2019 08:52:08","-1:00","simonm","Alarm:","COVER OPEN 1  Acknowledgment",,gWU31L
561425,"05/04/2019 08:52:09","-1:00","simonm","Alarm: 2","Acknowledgment of 2 alarm from PLC MCA200+LKD; the cited messages is part of alarm group 1.",,yC/sID
561426,"05/04/2019 08:52:15","-1:00","simonm","Warning","PVSI NOT RUNNING   Off",,Nta1gK
561427,"05/04/2019 08:53:58","-1:00","simonm","Warning","WARNING SAFETY DOORS EXCLUDED  On",,jQdyhu
561428,"05/04/2019 08:55:12","-1:00","simonm","Alarm","COVER OPEN 1  Off",,A0RaR5
561429,"05/04/2019 08:55:12","-1:00","simonm","Alarm","COVER OPEN 2  Off",,zE+f6n
561430,"05/04/2019 08:55:12","-1:00","simonm","Alarm","COVER OPEN 3  Off",,7mb55L
561431,"05/04/2019 08:55:12","-1:00","simonm","Alarm","COVER OPEN 6  Off",,aak/+N
561432,"05/04/2019 08:55:12","-1:00","simonm","Alarm","COVER OPEN 7  Off",,2yvtEl
561433,"05/04/2019 08:55:12","-1:00","simonm","Alarm","PVSI NOT READY  Off",,51gX+T
561434,"05/04/2019 08:55:12","-1:00","simonm","Alarm","PVSI AND WINCC PRODUCT DIFFERENT  Off",,rkM3s4
561435,"05/04/2019 08:55:12","-1:00","simonm","Alarm","WARNING MISSING LOGIN OPERATION  Off",,XoeK8F
561436,"05/04/2019 08:55:13","-1:00","simonm","Alarm","EMERGENCY  Off",,JdJt0f
561437,"05/04/2019 08:55:13","-1:00","simonm","Alarm","ALARM INFEED BELT MOTOR  Off",,aP4jp0
561438,"05/04/2019 09:11:24","-1:00","simonm","Alarm","ALARM MISSING COMPRESSED AIR  On",,SLqMFB
561439,"05/04/2019 09:11:30","-1:00","simonm","Warning","WARNING MISSING REJECTED TRAY LOW LKD   On",,MYD+I4
561440,"05/04/2019 09:11:32","-1:00","simonm","Warning","WARNING MISSING REJECTED TRAY LOW LKD   Off",,yWQGpl
561441,"05/04/2019 09:11:33","-1:00","simonm","Warning","WARNING MISSING REJECTED TRAY HIGH LKD   On",,uhpc8e
561442,"05/04/2019 09:11:34","-1:00","simonm","Warning","WARNING MISSING REJECTED TRAY HIGH LKD   Off",,il8kfh
561443,"05/04/2019 09:12:01","-1:00","simonm","Alarm","ALARM MISSING COMPRESSED AIR  Off",,3p+NQY
561444,"05/04/2019 09:15:32","-1:00","simonm","Warning","WARNING MISSING REJECTED TRAY HIGH ST0  On",,3fvRtr
561445,"05/04/2019 09:15:51","-1:00","simonm","Warning","WARNING SAFETY DOORS EXCLUDED  Off",,+SbxBM
561446,"05/04/2019 09:15:51","-1:00","simonm","Alarm","WARNING MISSING LOGIN OPERATION  On",,KdJ+xJ
561447,"05/04/2019 09:15:51","-1:00","simonm","Alarm","EMERGENCY  On",,TwOCWC
561448,"05/04/2019 09:15:51","-1:00","simonm","Alarm","ALARM INFEED BELT MOTOR  On",,+mHR9n
561449,"05/04/2019 09:15:56","-1:00","simonm","Warning","WARNING MISSING REJECTED TRAY HIGH ST0  Off",,f4zIEX
561450,"05/04/2019 09:16:54","-1:00","simonm","Alarm","EMERGENCY  Off",,WQhWv8
561451,"05/04/2019 09:16:54","-1:00","simonm","Alarm","ALARM INFEED BELT MOTOR  Off",,cE1S0E
561452,"05/04/2019 09:16:59","-1:00","simonm","Warning","PVSI NOT RUNNING   On",,8996uG
561453,"05/04/2019 09:27:33","-1:00","System","User administration","User logged off.",,BT+8+G
561454,"05/04/2019 14:59:15","-1:00",,"Warning","WARNING MISSING REJECTED TRAY LOW LKD   On",,OabBJ2
561455,"05/04/2019 14:59:26","-1:00",,"Warning","WARNING MISSING REJECTED TRAY LOW LKD   Off",,ZvNq/W
561456,"05/04/2019 14:59:27","-1:00",,"Warning","WARNING MISSING REJECTED TRAY LOW LKD   On",,XxXOg7
561457,"05/04/2019 14:59:31","-1:00",,"Warning","WARNING MISSING REJECTED TRAY LOW LKD   Off",,R98LV2
561458,"05/04/2019 14:59:32","-1:00",,"Warning","WARNING MISSING REJECTED TRAY LOW LKD   On",,t7ba6e
561459,"05/04/2019 14:59:35","-1:00",,"Warning","WARNING MISSING REJECTED TRAY LOW LKD   Off",,oEJQ1Y
561460,"05/04/2019 15:02:50","-1:00",,"Warning","WARNING MISSING REJECTED TRAY HIGH ST0  On",,YOixJF
561461,"05/04/2019 15:02:53","-1:00",,"Warning","WARNING MISSING REJECTED TRAY LOW ST0   On",,IPlZWL
561462,"05/04/2019 15:02:53","-1:00",,"Alarm","ALARM MISSING ST0 TIP REJECTED TRAYS   On",,Jpp5Tf
561463,"05/04/2019 15:02:58","-1:00",,"Warning","WARNING MISSING REJECTED TRAY LOW ST0   Off",,K6MHFc
561464,"05/04/2019 15:03:02","-1:00",,"Warning","WARNING MISSING REJECTED TRAY HIGH ST0  Off",,IPLJg3
561465,"05/04/2019 15:03:05","-1:00",,"Alarm","COVER OPEN 1  On",,SLhCtT
561466,"05/04/2019 15:03:05","-1:00",,"Alarm","EMERGENCY  On",,nwUFhh
561467,"05/04/2019 15:03:06","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,3omQG4
561468,"05/04/2019 15:03:37","-1:00",,"Alarm","COVER OPEN 7  On",,Tki1mi
561469,"05/04/2019 15:03:37","-1:00",,"Alarm","COVER OPEN 6  On",,+K5uZv
561470,"05/04/2019 15:05:30","-1:00",,"Alarm","COVER OPEN 5  On",,RRVcXb
561471,"05/04/2019 15:05:58","-1:00",,"Warning","WARNING REJECTED TRAY ALMOST FULL  On",,1oEXKf
561472,"05/04/2019 15:06:11","-1:00",,"Warning","WARNING REJECTED TRAY ALMOST FULL  Off",,kZXC5G
561473,"05/04/2019 15:06:20","-1:00",,"Warning","WARNING MISSING REJECTED TRAY HIGH LKD   On",,NAKEar
