"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"14/12/2018 09:10:08","+0:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,cVs2FP
508026,"14/12/2018 09:10:07","+0:00","System","Logs","Exporting a log.",,nGLEBt
508027,"14/12/2018 09:10:13","+0:00",,"Recipe","Loading recipe number 4 ( 10mL Production ) on the interface.",,O6D1we
508028,"14/12/2018 09:10:14","+0:00",,"Recipe","Data trasfered to PLC",,gHBMxd
508029,"14/12/2018 09:10:14","+0:00",,"Warning","ALARM OZONE SENSOR  On",,Xa4o/1
508030,"14/12/2018 09:10:14","+0:00",,"Warning","PVSI NOT RUNNING   On",,qmhnkF
508031,"14/12/2018 09:10:14","+0:00",,"Warning","WARNING INFEED BELT MINIM LOAD  On",,1SnKdn
508032,"14/12/2018 09:10:14","+0:00",,"Alarm","EMERGENCY  On",,GdFWnP
508033,"14/12/2018 09:10:14","+0:00",,"Alarm","COVER OPEN 2  On",,3ub5GX
508034,"14/12/2018 09:10:14","+0:00",,"Alarm","COVER OPEN 3  On",,aLqVea
508035,"14/12/2018 09:10:14","+0:00",,"Alarm","COVER OPEN 5  On",,gCdYzT
508036,"14/12/2018 09:10:14","+0:00",,"Alarm","COVER OPEN 6  On",,ohYhoC
508037,"14/12/2018 09:10:14","+0:00",,"Alarm","COVER OPEN 7  On",,C/yvT3
508038,"14/12/2018 09:10:14","+0:00",,"Alarm","ALARM SAFETY CLUTCH LOADING STARWHEEL  On",,/oJmXN
508039,"14/12/2018 09:10:14","+0:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  On",,4uZaFC
508040,"14/12/2018 09:10:14","+0:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   On",,eiruUe
508041,"14/12/2018 09:10:14","+0:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,abka95
508042,"14/12/2018 09:10:14","+0:00",,"Alarm","ALARM ROTATION MOTOR 1  On",,9XBApW
508043,"14/12/2018 09:10:14","+0:00",,"Alarm","ALARM ROTATION MOTOR 2  On",,khyCYM
