"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"06/08/2018 08:58:46","-1:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,NhWice
438383,"06/08/2018 08:58:45","-1:00","System","Logs","Exporting a log.",,Xh8Zrm
438384,"06/08/2018 08:58:52","-1:00",,"Recipe","Loading recipe number 10 ( Charring 1ml Product ) on the interface.",,mfjiFC
438385,"06/08/2018 08:58:52","-1:00",,"Recipe","Data trasfered to PLC",,y/fVFW
438386,"06/08/2018 08:58:52","-1:00",,"Warning","ALARM OZONE SENSOR  On",,UMbRhP
438387,"06/08/2018 08:58:52","-1:00",,"Warning","PVSI NOT RUNNING   On",,xMsUuI
438388,"06/08/2018 08:58:52","-1:00",,"Warning","WARNING EMPTY PROGRAM ACTIVATED  On",,n7meB0
438389,"06/08/2018 08:58:52","-1:00",,"Warning","WARNING ACCEPTED TRAY ALMOST FULL  On",,XoQIH8
438390,"06/08/2018 08:58:52","-1:00",,"Alarm","EMERGENCY  On",,fu0OiC
438391,"06/08/2018 08:58:52","-1:00",,"Alarm","COVER OPEN 1  On",,Re9FTS
438392,"06/08/2018 08:58:52","-1:00",,"Alarm","COVER OPEN 2  On",,4aL5gt
438393,"06/08/2018 08:58:52","-1:00",,"Alarm","COVER OPEN 3  On",,n+wZz+
438394,"06/08/2018 08:58:52","-1:00",,"Alarm","COVER OPEN 5  On",,D1deKg
438395,"06/08/2018 08:58:52","-1:00",,"Alarm","COVER OPEN 6  On",,PnVnTj
438396,"06/08/2018 08:58:52","-1:00",,"Alarm","COVER OPEN 7  On",,WeAQui
438397,"06/08/2018 08:58:52","-1:00",,"Alarm","ALARM SAFETY CLUTCH LOADING STARWHEEL  On",,rsoQl8
438398,"06/08/2018 08:58:52","-1:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  On",,qquXL5
438399,"06/08/2018 08:58:52","-1:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   On",,auTZ03
438400,"06/08/2018 08:58:52","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,lsxAye
438401,"06/08/2018 08:58:52","-1:00",,"Alarm","ALARM ROTATION MOTOR 1  On",,slSyIo
438402,"06/08/2018 08:58:52","-1:00",,"Alarm","ALARM ROTATION MOTOR 2  On",,oDcuM7
438403,"06/08/2018 08:58:52","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  On",,RUUa+u
438404,"06/08/2018 08:58:52","-1:00",,"Alarm","ALARM MISSING ST0 TIP REJECTED TRAYS   On",,AQ0DdJ
438405,"06/08/2018 08:58:52","-1:00",,"Alarm","ALARM MISSING LKD REJECTED TRAYS   On",,0HUtOr
438406,"06/08/2018 08:58:52","-1:00",,"Alarm","PVSI NOT READY  On",,SR+AI/
438407,"06/08/2018 08:58:52","-1:00",,"Alarm","PVSI AND WINCC PRODUCT DIFFERENT  On",,fblJru
438408,"06/08/2018 08:58:52","-1:00",,"Alarm","Alarm profibus nodo 3 (encoder)  On",,xcqMXR
438409,"06/08/2018 08:58:52","-1:00",,"Alarm","Alarm profibus nodo 4 (PC)  On",,eirxZ8
438410,"06/08/2018 08:58:52","-1:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,eJI1dv
438411,"06/08/2018 08:58:56","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  Off",,3TuRmE
438412,"06/08/2018 08:59:02","-1:00",,"Warning","WARNING UPS  On",,8VRH15
438413,"06/08/2018 08:59:02","-1:00",,"Warning","WARNING REJECTED TRAY ALMOST FULL  On",,FOwOu/
438414,"06/08/2018 08:59:02","-1:00",,"Warning","WARNING MISSING REJECTED TRAY HIGH ST0  On",,t4HM8y
438415,"06/08/2018 08:59:02","-1:00",,"Warning","WARNING MISSING REJECTED TRAY LOW ST0   On",,v9ydUR
438416,"06/08/2018 09:05:30","-1:00","System","Application","The last program run was not correctly exited. This may result in the loss of data.",,qLSQrp
0,"06/08/2018 09:05:30","-1:00","System","Application","Startup of  on device . Project: '. - ' Build , created with WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,oABj4F
438417,"06/08/2018 09:05:30","-1:00","System","Application","Change to operating mode 'online'.",,xd7ZGV
438418,"06/08/2018 09:05:30","-1:00","System","User administration","Password list imported successfully.",,pDJ0RA
0,"06/08/2018 09:05:33","-1:00","System","Logs","Log files closed.",,v9CRcD
"$RT_COUNT$",40,kk14ge,,,,,v9Nilr
