"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"10/03/2017 02:15:11","-1:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,Wvy7wL
96760,"10/03/2017 02:15:10","-1:00","System","Logs","Exporting a log.",,+fc6Rl
96761,"10/03/2017 02:15:16","-1:00",,"Recipe","Loading recipe number 4 ( Production 10ml ) on the interface.",,F2e8ai
96762,"10/03/2017 02:15:17","-1:00",,"Recipe","Data trasfered to PLC",,dKk7HU
96763,"10/03/2017 02:15:17","-1:00",,"Warning","ALARM OZONE SENSOR  On",,OCcMXn
96764,"10/03/2017 02:15:17","-1:00",,"Warning","PVSI NOT RUNNING   On",,keQv0T
96765,"10/03/2017 02:15:17","-1:00",,"Warning","WARNING EMPTY PROGRAM ACTIVATED  On",,IhzoNl
96766,"10/03/2017 02:15:17","-1:00",,"Alarm","EMERGENCY  On",,WHbZtW
96767,"10/03/2017 02:15:17","-1:00",,"Alarm","COVER OPEN 6  On",,XPB/F8
96768,"10/03/2017 02:15:17","-1:00",,"Alarm","COVER OPEN 7  On",,aWWvgX
96769,"10/03/2017 02:15:17","-1:00",,"Alarm","ALARM SAFETY CLUTCH LOADING STARWHEEL  On",,g/q9Xk
96770,"10/03/2017 02:15:17","-1:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  On",,I4XySu
96771,"10/03/2017 02:15:17","-1:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   On",,ZtnTHn
96772,"10/03/2017 02:15:17","-1:00",,"Alarm","ALARM MAIN MOTOR  On",,tBzQbT
96773,"10/03/2017 02:15:17","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,Hz4kQz
96774,"10/03/2017 02:15:17","-1:00",,"Alarm","ALARM ROTATION MOTOR 1  On",,IG6Fd9
96775,"10/03/2017 02:15:17","-1:00",,"Alarm","ALARM ROTATION MOTOR 2  On",,m4Yag2
96776,"10/03/2017 02:15:17","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  On",,mP7nn1
96777,"10/03/2017 02:15:17","-1:00",,"Alarm","ALARM MISSING ST0 TIP REJECTED TRAYS   On",,eokdzv
96778,"10/03/2017 02:15:17","-1:00",,"Alarm","ALARM MISSING LKD REJECTED TRAYS   On",,hEHwg1
96779,"10/03/2017 02:15:17","-1:00",,"Alarm","PVSI NOT READY  On",,Rm3DK8
96780,"10/03/2017 02:15:17","-1:00",,"Alarm","PVSI AND WINCC PRODUCT DIFFERENT  On",,Ap30db
96781,"10/03/2017 02:15:17","-1:00",,"Alarm","Alarm profibus nodo 3 (encoder)  On",,Nnd6U6
96782,"10/03/2017 02:15:17","-1:00",,"Alarm","Alarm profibus nodo 4 (PC)  On",,McsxKP
96783,"10/03/2017 02:15:17","-1:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,MAfI7N
96784,"10/03/2017 02:15:21","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  Off",,+s2ffP
96785,"10/03/2017 02:16:02","-1:00","System","User administration","User 'adamb' logged on with group 'Operator'.",,WClJ+F
96786,"10/03/2017 02:16:05","-1:00","adamb","Warning","ALARM OZONE SENSOR  Off",,SZgPLq
96787,"10/03/2017 02:16:05","-1:00","adamb","Alarm","COVER OPEN 6  Off",,A/oV2l
96788,"10/03/2017 02:16:05","-1:00","adamb","Alarm","COVER OPEN 7  Off",,1l0UUX
96789,"10/03/2017 02:16:05","-1:00","adamb","Alarm","ALARM SAFETY CLUTCH LOADING STARWHEEL  Off",,a1JD2l
96790,"10/03/2017 02:16:05","-1:00","adamb","Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  Off",,rB8+Sa
96791,"10/03/2017 02:16:05","-1:00","adamb","Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   Off",,DqvyVd
96792,"10/03/2017 02:16:05","-1:00","adamb","Alarm","ALARM MAIN MOTOR  Off",,3JH6bO
96793,"10/03/2017 02:16:05","-1:00","adamb","Alarm","ALARM ROTATION MOTOR 1  Off",,417xGZ
96794,"10/03/2017 02:16:05","-1:00","adamb","Alarm","ALARM ROTATION MOTOR 2  Off",,h+7xxR
96795,"10/03/2017 02:16:05","-1:00","adamb","Alarm","ALARM MISSING ST0 TIP REJECTED TRAYS   Off",,BNZpP+
96796,"10/03/2017 02:16:05","-1:00","adamb","Alarm","ALARM MISSING LKD REJECTED TRAYS   Off",,at//tq
96797,"10/03/2017 02:16:05","-1:00","adamb","Alarm","Alarm profibus nodo 3 (encoder)  Off",,ZDbS2F
96798,"10/03/2017 02:16:05","-1:00","adamb","Alarm","Alarm profibus nodo 4 (PC)  Off",,dBlAIF
96799,"10/03/2017 02:16:05","-1:00","adamb","Alarm","WARNING MISSING LOGIN OPERATION  Off",,PsDm5v
96800,"10/03/2017 02:16:05","-1:00","adamb","Alarm","EMERGENCY  Off",,N9CRZc
96801,"10/03/2017 02:16:05","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  Off",,C2E6Vl
96802,"10/03/2017 02:16:17","-1:00","adamb","Warning","PVSI NOT RUNNING   Off",,wKbYjj
96803,"10/03/2017 02:16:36","-1:00","adamb","Alarm","PVSI NOT READY  Off",,oOheWP
96804,"10/03/2017 02:16:36","-1:00","adamb","Alarm","PVSI AND WINCC PRODUCT DIFFERENT  Off",,utonAU
96805,"10/03/2017 02:17:04","-1:00","adamb","Alarm","EMERGENCY  On",,cRrp+a
96806,"10/03/2017 02:17:04","-1:00","adamb","Alarm","COVER OPEN 6  On",,6UbTuL
96807,"10/03/2017 02:17:05","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  On",,3UI0yN
96808,"10/03/2017 02:17:06","-1:00","adamb","Alarm","COVER OPEN 7  On",,bqxio3
96809,"10/03/2017 02:17:44","-1:00","adamb","Alarm","COVER OPEN 6  Off",,t3r0hb
96810,"10/03/2017 02:17:44","-1:00","adamb","Alarm","COVER OPEN 7  Off",,yl5aCi
96811,"10/03/2017 02:17:44","-1:00","adamb","Alarm","EMERGENCY  Off",,UHnJgY
96812,"10/03/2017 02:17:44","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  Off",,8eOSsO
96813,"10/03/2017 02:18:23","-1:00","adamb","Alarm","EMERGENCY  On",,8tiOvj
96814,"10/03/2017 02:18:23","-1:00","adamb","Alarm","COVER OPEN 6  On",,uVh0lV
96815,"10/03/2017 02:18:23","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  On",,6CeV2v
96816,"10/03/2017 02:18:24","-1:00","adamb","Alarm","COVER OPEN 7  On",,ZDtFBD
96817,"10/03/2017 02:18:38","-1:00","adamb","Alarm","COVER OPEN 6  Off",,7ZGpTa
96818,"10/03/2017 02:18:38","-1:00","adamb","Alarm","COVER OPEN 7  Off",,q8L7ey
96819,"10/03/2017 02:18:38","-1:00","adamb","Alarm","EMERGENCY  Off",,a22mpc
96820,"10/03/2017 02:18:38","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  Off",,LEmBKQ
96821,"10/03/2017 02:19:38","-1:00","adamb","Alarm","EMERGENCY  On",,w3Do4m
96822,"10/03/2017 02:19:38","-1:00","adamb","Alarm","COVER OPEN 6  On",,ADS6Xn
96823,"10/03/2017 02:19:38","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  On",,8swy0O
96824,"10/03/2017 02:19:38","-1:00","adamb","Alarm","COVER OPEN 7  On",,Qftw29
96825,"10/03/2017 02:20:34","-1:00","adamb","Alarm","COVER OPEN 6  Off",,oYQJyc
96826,"10/03/2017 02:20:34","-1:00","adamb","Alarm","COVER OPEN 7  Off",,zcJAok
96827,"10/03/2017 02:20:34","-1:00","adamb","Alarm","EMERGENCY  Off",,6ryUHy
96828,"10/03/2017 02:20:34","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  Off",,LJj4qX
96829,"10/03/2017 02:21:12","-1:00","adamb","Alarm","EMERGENCY  On",,ZEtROL
96830,"10/03/2017 02:21:12","-1:00","adamb","Alarm","COVER OPEN 5  On",,WR8BU+
96831,"10/03/2017 02:21:12","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  On",,s1h1en
96832,"10/03/2017 02:22:27","-1:00","adamb","Alarm","COVER OPEN 7  On",,f4cztE
96833,"10/03/2017 02:22:55","-1:00","adamb","Alarm","COVER OPEN 6  On",,umw+A7
96834,"10/03/2017 02:23:26","-1:00","adamb","Alarm","COVER OPEN 5  Off",,WCcz1v
96835,"10/03/2017 02:23:26","-1:00","adamb","Alarm","COVER OPEN 6  Off",,VgACYt
96836,"10/03/2017 02:23:26","-1:00","adamb","Alarm","COVER OPEN 7  Off",,kmexSE
96837,"10/03/2017 02:23:26","-1:00","adamb","Alarm","EMERGENCY  Off",,MQcabd
96838,"10/03/2017 02:23:26","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  Off",,r9xLly
96839,"10/03/2017 02:23:52","-1:00","adamb","Alarm","COVER OPEN 7  On",,W5OJ6X
96840,"10/03/2017 02:23:53","-1:00","adamb","Alarm","EMERGENCY  On",,NVt6ey
96841,"10/03/2017 02:23:53","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  On",,jnEV8k
96842,"10/03/2017 02:23:54","-1:00","adamb","Alarm","COVER OPEN 6  On",,8EgKaM
96843,"10/03/2017 02:24:18","-1:00","adamb","Alarm","COVER OPEN 6  Off",,wxTh/7
96844,"10/03/2017 02:24:18","-1:00","adamb","Alarm","COVER OPEN 7  Off",,+UdrQ1
96845,"10/03/2017 02:24:18","-1:00","adamb","Alarm","EMERGENCY  Off",,sEI5Qw
96846,"10/03/2017 02:24:18","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  Off",,R+xKJm
96847,"10/03/2017 02:24:57","-1:00","adamb","Alarm","COVER OPEN 6  On",,nEwJK8
96848,"10/03/2017 02:24:57","-1:00","adamb","Alarm","EMERGENCY  On",,Up8162
96849,"10/03/2017 02:24:57","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  On",,NmauXe
96850,"10/03/2017 02:24:58","-1:00","adamb","Alarm","COVER OPEN 7  On",,mRzvEE
96851,"10/03/2017 02:25:12","-1:00","adamb","Alarm","COVER OPEN 6  Off",,GWI5IA
96852,"10/03/2017 02:25:12","-1:00","adamb","Alarm","COVER OPEN 7  Off",,9MYH6s
96853,"10/03/2017 02:25:12","-1:00","adamb","Alarm","EMERGENCY  Off",,KySMtG
96854,"10/03/2017 02:25:12","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  Off",,81CRkV
96855,"10/03/2017 02:25:28","-1:00","adamb","Alarm","EMERGENCY  On",,PRCAi+
96856,"10/03/2017 02:25:28","-1:00","adamb","Alarm","COVER OPEN 7  On",,7WL/Rm
96857,"10/03/2017 02:25:29","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  On",,h9X0w2
96858,"10/03/2017 02:25:29","-1:00","adamb","Alarm","COVER OPEN 6  On",,XgK0pe
96859,"10/03/2017 02:25:50","-1:00","adamb","Alarm","COVER OPEN 6  Off",,qmZBBW
96860,"10/03/2017 02:25:50","-1:00","adamb","Alarm","COVER OPEN 7  Off",,iuFQaO
96861,"10/03/2017 02:25:51","-1:00","adamb","Alarm","EMERGENCY  Off",,5NV6bZ
96862,"10/03/2017 02:25:51","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  Off",,1JxrQW
96863,"10/03/2017 02:26:51","-1:00","adamb","Alarm","COVER OPEN 6  On",,ONMMb6
96864,"10/03/2017 02:26:52","-1:00","adamb","Alarm","EMERGENCY  On",,pgwBmQ
96865,"10/03/2017 02:26:52","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  On",,PWjaPB
96866,"10/03/2017 02:26:59","-1:00","adamb","Alarm","COVER OPEN 7  On",,6Mp1cj
96867,"10/03/2017 02:27:38","-1:00","adamb","Alarm","COVER OPEN 6  Off",,1x96Az
96868,"10/03/2017 02:27:38","-1:00","adamb","Alarm","COVER OPEN 7  Off",,DxnPVc
96869,"10/03/2017 02:27:38","-1:00","adamb","Alarm","EMERGENCY  Off",,sW6irQ
96870,"10/03/2017 02:27:39","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  Off",,cy7svb
96871,"10/03/2017 02:27:54","-1:00","adamb","Alarm","EMERGENCY  On",,fRCYGy
96872,"10/03/2017 02:27:54","-1:00","adamb","Alarm","COVER OPEN 7  On",,amTyoN
96873,"10/03/2017 02:27:55","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  On",,AenKZy
96874,"10/03/2017 02:27:55","-1:00","adamb","Alarm","COVER OPEN 6  On",,yj5IDs
96875,"10/03/2017 02:28:45","-1:00","adamb","Alarm","COVER OPEN 6  Off",,Rw05YW
96876,"10/03/2017 02:28:45","-1:00","adamb","Alarm","COVER OPEN 7  Off",,Ug91Rn
96877,"10/03/2017 02:28:45","-1:00","adamb","Alarm","EMERGENCY  Off",,DdGxuV
96878,"10/03/2017 02:28:45","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  Off",,Kjp8Zc
96879,"10/03/2017 02:29:28","-1:00","adamb","Alarm","EMERGENCY  On",,IOjxRQ
96880,"10/03/2017 02:29:28","-1:00","adamb","Alarm","COVER OPEN 7  On",,r6Vy6f
96881,"10/03/2017 02:29:28","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  On",,bjGZoY
96882,"10/03/2017 02:29:32","-1:00","adamb","Alarm","COVER OPEN 6  On",,321t7g
96883,"10/03/2017 02:29:39","-1:00","adamb","Alarm","COVER OPEN 6  Off",,dW2n+N
96884,"10/03/2017 02:29:39","-1:00","adamb","Alarm","COVER OPEN 7  Off",,m3O2MW
96885,"10/03/2017 02:29:40","-1:00","adamb","Alarm","EMERGENCY  Off",,nHmNO3
96886,"10/03/2017 02:29:40","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  Off",,Y8yQyN
96887,"10/03/2017 02:30:06","-1:00","adamb","Warning","WARNING MISSING REJECTED TRAY HIGH ST0  On",,oEIOQb
96888,"10/03/2017 02:30:07","-1:00","adamb","Warning","WARNING MISSING REJECTED TRAY HIGH ST0  Off",,MVYsML
96889,"10/03/2017 02:30:23","-1:00","adamb","Alarm","COVER OPEN 5  On",,oM6+k8
96890,"10/03/2017 02:30:23","-1:00","adamb","Alarm","EMERGENCY  On",,uF8DCQ
96891,"10/03/2017 02:30:23","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  On",,2gn887
96892,"10/03/2017 02:31:21","-1:00","adamb","Warning","WARNING MISSING REJECTED TRAY HIGH ST0  On",,lBbAHQ
96893,"10/03/2017 02:31:21","-1:00","adamb","Warning","WARNING MISSING REJECTED TRAY HIGH ST0  Off",,+sIXUb
96894,"10/03/2017 02:31:32","-1:00","adamb","Warning","WARNING MISSING REJECTED TRAY HIGH LKD   On",,TreHq+
96895,"10/03/2017 02:32:03","-1:00","adamb","Alarm","COVER OPEN 7  On",,aLpTD8
96896,"10/03/2017 02:32:03","-1:00","adamb","Alarm","COVER OPEN 6  On",,ttL61m
96897,"10/03/2017 02:32:22","-1:00","adamb","Warning","WARNING MISSING REJECTED TRAY HIGH LKD   Off",,7buDkC
96898,"10/03/2017 02:33:19","-1:00","adamb","Alarm","COVER OPEN 1  On",,6uRXmZ
96899,"10/03/2017 02:36:44","-1:00","adamb","Alarm","COVER OPEN 1  Off",,M7hc2U
96900,"10/03/2017 02:36:44","-1:00","adamb","Alarm","COVER OPEN 5  Off",,sFwKle
96901,"10/03/2017 02:36:44","-1:00","adamb","Alarm","COVER OPEN 6  Off",,lzGVK0
96902,"10/03/2017 02:36:44","-1:00","adamb","Alarm","COVER OPEN 7  Off",,GXxwWR
96903,"10/03/2017 02:36:44","-1:00","adamb","Alarm","EMERGENCY  Off",,6jL/cn
96904,"10/03/2017 02:36:44","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  Off",,22Q12d
96905,"10/03/2017 02:36:48","-1:00","adamb","Alarm: 2","Acknowledgment of 2 alarm from PLC MCA200+LKD; the cited messages is part of alarm group 1.",,lp7tLD
96906,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","ALARM SAFETY CLUTCH LOADING STARWHEEL  Acknowledgment",,lKy7U3
96907,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  Acknowledgment",,ryB6DX
96908,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   Acknowledgment",,PxNjM4
96909,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","ALARM MAIN MOTOR  Acknowledgment",,rzkkKf
96910,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","ALARM ROTATION MOTOR 1  Acknowledgment",,UIsPES
96911,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","ALARM ROTATION MOTOR 2  Acknowledgment",,Hj2ox0
96912,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","ALARM MISSING COMUNICATION WITH INTERFACE  Acknowledgment",,jmIonG
96913,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","ALARM MISSING ST0 TIP REJECTED TRAYS   Acknowledgment",,cEed11
96914,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","ALARM MISSING LKD REJECTED TRAYS   Acknowledgment",,IHqc52
96915,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","PVSI NOT READY  Acknowledgment",,mMdGOp
96916,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","PVSI AND WINCC PRODUCT DIFFERENT  Acknowledgment",,jqGkGp
96917,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","Alarm profibus nodo 3 (encoder)  Acknowledgment",,Pi5PGv
96918,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","Alarm profibus nodo 4 (PC)  Acknowledgment",,1eNKDj
96919,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","WARNING MISSING LOGIN OPERATION  Acknowledgment",,zDQBg9
96920,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","COVER OPEN 5  Acknowledgment",,HTEdra
96921,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","EMERGENCY  Acknowledgment",,E1jQ0b
96922,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","ALARM INFEED BELT MOTOR  Acknowledgment",,ICVHTw
96923,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","COVER OPEN 7  Acknowledgment",,+s1WgI
96924,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","COVER OPEN 6  Acknowledgment",,TBD0bB
96925,"10/03/2017 02:36:50","-1:00","adamb","Alarm:","COVER OPEN 1  Acknowledgment",,Xz7A3d
96926,"10/03/2017 02:36:56","-1:00","adamb","Alarm: 60000","Acknowledgment of alarm 60000.",,x5WNlj
96927,"10/03/2017 02:36:56","-1:00","adamb","Alarm: 60000","Acknowledgment of alarm 60000.",,WF4zSE
96928,"10/03/2017 02:36:56","-1:00","adamb","Alarm: 60000","Acknowledgment of alarm 60000.",,VGWAAU
96929,"10/03/2017 02:36:57","-1:00","adamb","Alarm: 60000","Acknowledgment of alarm 60000.",,cMZT60
96930,"10/03/2017 02:36:57","-1:00","adamb","Alarm: 60000","Acknowledgment of alarm 60000.",,JL9vNA
96931,"10/03/2017 02:37:51","-1:00","adamb","Warning","WARNING MISSING REJECTED TRAY HIGH LKD   On",,1BK/pN
96932,"10/03/2017 02:37:53","-1:00","adamb","Warning","WARNING MISSING REJECTED TRAY HIGH LKD   Off",,mPVXPG
96933,"10/03/2017 02:37:53","-1:00","adamb","Warning","WARNING MISSING REJECTED TRAY LOW LKD   On",,B1uBOD
96934,"10/03/2017 02:37:53","-1:00","adamb","Warning","WARNING MISSING REJECTED TRAY LOW LKD   Off",,crIWM1
96935,"10/03/2017 02:37:56","-1:00","adamb","Warning","WARNING MISSING REJECTED TRAY HIGH ST0  On",,eOSvXK
96936,"10/03/2017 02:37:58","-1:00","adamb","Warning","WARNING MISSING REJECTED TRAY HIGH ST0  Off",,jUuCgP
96937,"10/03/2017 02:38:32","-1:00","adamb","Warning","WARNING MISSING REJECTED TRAY HIGH ST0  On",,23ybJc
96938,"10/03/2017 02:38:37","-1:00","adamb","Warning","WARNING MISSING REJECTED TRAY HIGH ST0  Off",,uTnXRc
96939,"10/03/2017 02:39:51","-1:00","adamb","Alarm","EMERGENCY  On",,kmxPFB
96940,"10/03/2017 02:39:51","-1:00","adamb","Alarm","COVER OPEN 6  On",,hqCjr+
96941,"10/03/2017 02:39:51","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  On",,oVw4tr
96942,"10/03/2017 02:40:01","-1:00","adamb","Alarm","COVER OPEN 5  On",,SRKRvx
96943,"10/03/2017 02:40:20","-1:00","adamb","Warning","WARNING ACCEPTED TRAY ALMOST FULL  On",,sknY8X
96944,"10/03/2017 02:40:27","-1:00","adamb","Warning","WARNING REJECTED TRAY ALMOST FULL  On",,WLB4pL
96945,"10/03/2017 02:40:38","-1:00","adamb","Warning","WARNING ACCEPTED TRAY ALMOST FULL  Off",,NpSehA
96946,"10/03/2017 02:42:10","-1:00","adamb","Warning","WARNING ACCEPTED TRAY ALMOST FULL  On",,p+XZtP
96947,"10/03/2017 02:42:45","-1:00","adamb","Warning","WARNING ACCEPTED TRAY ALMOST FULL  Off",,MasXHs
96948,"10/03/2017 02:42:46","-1:00","adamb","Warning","WARNING ACCEPTED TRAY ALMOST FULL  On",,7GOTnd
96949,"10/03/2017 02:47:09","-1:00","adamb","Warning","WARNING REJECTED TRAY ALMOST FULL  Off",,YnLp/B
96950,"10/03/2017 02:47:10","-1:00","adamb","Warning","WARNING REJECTED TRAY ALMOST FULL  On",,20p7Al
96951,"10/03/2017 02:47:10","-1:00","adamb","Warning","WARNING REJECTED TRAY ALMOST FULL  Off",,yrtVLL
96952,"10/03/2017 02:51:17","-1:00","adamb","Alarm","COVER OPEN 5  Off",,A8Xb7u
96953,"10/03/2017 02:51:17","-1:00","adamb","Alarm","COVER OPEN 6  Off",,sgd/xT
96954,"10/03/2017 02:51:18","-1:00","adamb","Alarm","EMERGENCY  Off",,mT846n
96955,"10/03/2017 02:51:18","-1:00","adamb","Alarm","ALARM INFEED BELT MOTOR  Off",,KuI1ug
96956,"10/03/2017 02:51:35","-1:00","adamb","Warning","WARNING REJECTED TRAY HIGH ST0 ALMOST FULL  On",,zrVjnj
96957,"10/03/2017 02:51:46","-1:00","adamb","Warning","WARNING REJECTED TRAY HIGH ST0 ALMOST FULL  Off",,lx2GMk
