"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"15/02/2018 08:21:03","+0:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,d5afG2
402156,"15/02/2018 08:21:03","+0:00","System","Logs","Exporting a log.",,R3vhJs
402157,"15/02/2018 08:21:20","+0:00",,"Recipe","Loading recipe number 4 ( 100ml Production ) on the interface.",,U5lxi4
402158,"15/02/2018 08:21:20","+0:00",,"Recipe","Data trasfered to PLC",,hJsEy+
402159,"15/02/2018 08:21:20","+0:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,z0Lqhl
402160,"15/02/2018 08:21:20","+0:00",,"Alarm","ALARM ROTATION MOTOR  On",,4plv69
402161,"15/02/2018 08:21:20","+0:00",,"Alarm","ALARM ROTATION MOTOR 2  On",,OT9owv
402162,"15/02/2018 08:21:20","+0:00",,"Alarm","ALARM ROTATION MOTOR 3  On",,X3Y/8c
402163,"15/02/2018 08:21:20","+0:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  On",,rAJzxH
402164,"15/02/2018 08:21:20","+0:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,FAZat6
402165,"15/02/2018 08:21:20","+0:00",,"Warning","ALARM VACUUM SENSOR  On",,6SZuAk
402166,"15/02/2018 08:21:20","+0:00",,"Warning","PVSI NOT READY  On",,uJWiHq
402167,"15/02/2018 08:21:20","+0:00",,"Warning","PVSI AND WINCC PRODUCT DIFFERENT  On",,Uveccb
402168,"15/02/2018 08:21:20","+0:00",,"Warning","PVSI NOT RUNNING   On",,eIGxmC
402169,"15/02/2018 08:21:20","+0:00",,"Warning","WARNING EMPTY PROGRAM ACTIVATED  On",,r9JqoP
402170,"15/02/2018 08:21:20","+0:00",,"Alarm","EMERGENCY  On",,wV0xbe
402171,"15/02/2018 08:21:20","+0:00",,"Alarm","COVER OPEN 3  On",,Tj8z4o
402172,"15/02/2018 08:21:20","+0:00",,"Alarm","COVER OPEN 4  On",,mcG9Z6
402173,"15/02/2018 08:21:20","+0:00",,"Alarm","ALARM PROFIBUS NODE 3 (ENCODER)  On",,GnMvRH
402174,"15/02/2018 08:21:20","+0:00",,"Alarm","ALARM PROFIBUS NODE 4 (PC)  On",,rQTyA1
402175,"15/02/2018 08:21:25","+0:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  Off",,/eGeHQ
402176,"15/02/2018 08:24:19","+0:00",,"Alarm","COVER OPEN 1  On",,IlhiI4
402177,"15/02/2018 08:24:20","+0:00",,"Alarm","COVER OPEN 2  On",,vlCQPJ
402178,"15/02/2018 08:24:40","+0:00",,"Warning","WARNING REJECTED TRAY 2 ALMOST FULL  On",,VOh4bN
