"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"04/08/2016 11:36:49","-2:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,wiKjXO
191635,"04/08/2016 11:36:49","-2:00","System","Logs","Exporting a log.",,U5IYTv
191636,"04/08/2016 11:37:00","-2:00",,"Recipe","Loading recipe number 3 ( 50ml Production ) on the interface.",,QRv/j3
191637,"04/08/2016 11:37:01","-2:00",,"Recipe","Data trasfered to PLC",,ZsRTrS
191638,"04/08/2016 11:37:01","-2:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  On",,DGCU2z
191639,"04/08/2016 11:37:01","-2:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,bDMb0m
191640,"04/08/2016 11:37:01","-2:00",,"Warning","PVSI NOT READY  On",,ZsvNw3
191641,"04/08/2016 11:37:01","-2:00",,"Warning","PVSI AND WINCC PRODUCT DIFFERENT  On",,5bfDMy
191642,"04/08/2016 11:37:01","-2:00",,"Warning","PVSI NOT RUNNING   On",,qiVUVW
191643,"04/08/2016 11:37:01","-2:00",,"Warning","WARNING INFEED BELT MINIM LOAD  On",,NF/dos
191644,"04/08/2016 11:37:01","-2:00",,"Warning","WARNING ACCEPTED TRAY ALMOST FULL  On",,eaLdHX
191645,"04/08/2016 11:37:01","-2:00",,"Warning","WARNING REJECTED TRAY 1 ALMOST FULL  On",,PdRQvr
191646,"04/08/2016 11:37:04","-2:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  Off",,We23M2
191647,"04/08/2016 11:37:21","-2:00","System","User administration","User 'adaml' logged on with group 'Administrator'.",,wzun3H
191648,"04/08/2016 11:37:32","-2:00","adaml","Warning","PVSI NOT RUNNING   Off",,2EpNa7
191649,"04/08/2016 11:38:22","-2:00","adaml","Warning","WARNING REJECTED TRAY 1 ALMOST FULL  Off",,B1LyRH
191650,"04/08/2016 11:40:37","-2:00","adaml","User administration","User 'Mitchf' has been created with group 'Unauthorized' and logoff time = 5 min.",,RHsTDk
191651,"04/08/2016 11:42:56","-2:00","adaml","User administration","User 'Mitch' has been created with group 'Operator' and logoff time = 59 min.",,XtJu97
191652,"04/08/2016 11:43:09","-2:00","adaml","User administration","User 'Mitch' has been deleted.",,djLhx8
191653,"04/08/2016 11:43:16","-2:00","adaml","User administration","The group of user 'Mitchf' has been changed from 'Unauthorized' to 'Operator'.",,vLhzhL
191654,"04/08/2016 11:44:05","-2:00","adaml","User administration","User logged off.",,24t4OM
191655,"04/08/2016 11:44:05","-2:00",,"Tag: Cicli continui\UserLevel","Change the value of the 'Cicli continui\UserLevel' tag from '0' to '0' by entering '0'.",,Pu2pVM
191656,"04/08/2016 11:44:50","-2:00","System","User administration","User 'Mitchf' logged on with group 'Operator'.",,/jjS1w
191657,"04/08/2016 11:44:59","-2:00","Mitchf","User administration","User logged off.",,f4QPBx
191658,"04/08/2016 11:44:59","-2:00",,"Tag: Cicli continui\UserLevel","Change the value of the 'Cicli continui\UserLevel' tag from '0' to '0' by entering '0'.",,h653JR
191659,"04/08/2016 11:45:00","-2:00",,"Warning","PVSI NOT READY  Off",,3u9c6G
191660,"04/08/2016 11:45:00","-2:00",,"Warning","PVSI AND WINCC PRODUCT DIFFERENT  Off",,4TQu/F
191661,"04/08/2016 11:45:08","-2:00","System","User administration","User 'adamb' logged on with group 'Operator'.",,dM+lei
191662,"04/08/2016 11:45:31","-2:00","adamb","Alarm","WARNING MISSING LOGIN OPERATION  Off",,f4Ctpu
191663,"04/08/2016 11:47:14","-2:00","adamb","User administration","User logged off.",,cPYOQA
191664,"04/08/2016 11:47:14","-2:00",,"Tag: Cicli continui\UserLevel","Change the value of the 'Cicli continui\UserLevel' tag from '0' to '0' by entering '0'.",,FmvsmK
191665,"04/08/2016 11:47:14","-2:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,vL8sxY
191666,"04/08/2016 11:47:28","-2:00","System","User administration","User 'Mitchf' logged on with group 'Operator'.",,Og+OzP
191667,"04/08/2016 11:47:28","-2:00","Mitchf","Warning","WARNING ACCEPTED TRAY ALMOST FULL  Off",,oDPKFL
191668,"04/08/2016 11:52:42","-2:00","Mitchf","Alarm","WARNING MISSING LOGIN OPERATION  Off",,OkAGus
