"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"25/04/2018 11:08:46","-1:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,dmKbCA
287971,"25/04/2018 11:08:46","-1:00","System","Logs","Exporting a log.",,PVWnNX
287972,"25/04/2018 11:09:00","-1:00",,"Recipe","Loading recipe number 3 ( 50ml Production ) on the interface.",,ScCj1V
287973,"25/04/2018 11:09:01","-1:00",,"Recipe","Data trasfered to PLC",,QeGcwv
287974,"25/04/2018 11:09:01","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,gBHd9r
287975,"25/04/2018 11:09:01","-1:00",,"Alarm","ALARM ROTATION MOTOR  On",,y2Hko4
287976,"25/04/2018 11:09:01","-1:00",,"Alarm","ALARM ROTATION MOTOR 2  On",,3wwFWi
287977,"25/04/2018 11:09:01","-1:00",,"Alarm","ALARM ROTATION MOTOR 3  On",,AZxNF9
287978,"25/04/2018 11:09:01","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  On",,8DnYXa
287979,"25/04/2018 11:09:01","-1:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,aPjm6L
287980,"25/04/2018 11:09:01","-1:00",,"Warning","ALARM VACUUM SENSOR  On",,L0SpmO
287981,"25/04/2018 11:09:01","-1:00",,"Warning","PVSI NOT READY  On",,5GWVQE
287982,"25/04/2018 11:09:01","-1:00",,"Warning","PVSI AND WINCC PRODUCT DIFFERENT  On",,MO7aba
287983,"25/04/2018 11:09:01","-1:00",,"Warning","PVSI NOT RUNNING   On",,QItjCZ
287984,"25/04/2018 11:09:01","-1:00",,"Warning","WARNING EMPTY PROGRAM ACTIVATED  On",,eEjbn9
287985,"25/04/2018 11:09:01","-1:00",,"Alarm","EMERGENCY  On",,wepOdg
287986,"25/04/2018 11:09:01","-1:00",,"Alarm","COVER OPEN 4  On",,f46dZN
287987,"25/04/2018 11:09:01","-1:00",,"Alarm","ALARM PROFIBUS NODE 3 (ENCODER)  On",,SgFp56
287988,"25/04/2018 11:09:01","-1:00",,"Alarm","ALARM PROFIBUS NODE 4 (PC)  On",,G0lUKF
287989,"25/04/2018 11:09:05","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  Off",,HLuBqf
0,"25/04/2018 11:09:14","-1:00","System","Application","Stopping program run of WinCC flexible RT 2008 SP3 on device spami-95efeb7bc.",,Y1iaAS
0,"25/04/2018 11:15:57","-1:00","System","Application","Startup of  on device . Project: '. - ' Build , created with WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,33r4ju
287990,"25/04/2018 11:15:57","-1:00","System","Application","Change to operating mode 'online'.",,Dm4jiB
287991,"25/04/2018 11:15:57","-1:00","System","User administration","Password list imported successfully.",,Ipf2kW
0,"25/04/2018 11:15:58","-1:00","System","Logs","Log files closed.",,Ib9N3z
"$RT_COUNT$",26,kk14ge,,,,,u7Na+A
