"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"02/12/2016 12:05:23","-1:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,CH8iEq
219936,"02/12/2016 12:05:23","-1:00","System","Logs","Exporting a log.",,nlJzp7
219937,"02/12/2016 12:05:39","-1:00",,"Recipe","Loading recipe number 3 ( 50ml Production ) on the interface.",,kGYb5O
219938,"02/12/2016 12:05:39","-1:00",,"Recipe","Data trasfered to PLC",,W4phsk
219939,"02/12/2016 12:05:39","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,cNCmJx
219940,"02/12/2016 12:05:39","-1:00",,"Alarm","ALARM ROTATION MOTOR  On",,V/ZgRx
219941,"02/12/2016 12:05:39","-1:00",,"Alarm","ALARM ROTATION MOTOR 2  On",,K2GMEm
219942,"02/12/2016 12:05:39","-1:00",,"Alarm","ALARM ROTATION MOTOR 3  On",,tseSXI
219943,"02/12/2016 12:05:39","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  On",,I1aNE0
219944,"02/12/2016 12:05:39","-1:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,UQif8H
219945,"02/12/2016 12:05:39","-1:00",,"Warning","ALARM VACUUM SENSOR  On",,A3hfSe
219946,"02/12/2016 12:05:39","-1:00",,"Warning","PVSI NOT READY  On",,ahlYg5
219947,"02/12/2016 12:05:39","-1:00",,"Warning","PVSI AND WINCC PRODUCT DIFFERENT  On",,hM5vK2
219948,"02/12/2016 12:05:39","-1:00",,"Warning","PVSI NOT RUNNING   On",,Mm+65L
219949,"02/12/2016 12:05:39","-1:00",,"Warning","WARNING EMPTY PROGRAM ACTIVATED  On",,ydOO5p
219950,"02/12/2016 12:05:39","-1:00",,"Alarm","EMERGENCY  On",,62vL+Z
219951,"02/12/2016 12:05:39","-1:00",,"Alarm","ALARM PROFIBUS NODE 3 (ENCODER)  On",,Ugygc8
219952,"02/12/2016 12:05:39","-1:00",,"Alarm","ALARM PROFIBUS NODE 4 (PC)  On",,s/ZZ+v
219953,"02/12/2016 12:05:39","-1:00",,"Alarm","ALARM TURRET MOTOR NOT READY  On",,YEkRmH
219954,"02/12/2016 12:05:39","-1:00",,"Alarm","ALARM HOMING NOT DONE TURRET MOTOR  On",,GuUwfG
219955,"02/12/2016 12:05:43","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  Off",,qytALs
219956,"02/12/2016 12:30:02","-1:00","System","User administration","User 'simonb' logged on with group 'Supervisor'.",,jf9Hx/
219957,"02/12/2016 12:30:10","-1:00","simonb","Alarm","WARNING MISSING LOGIN OPERATION  Off",,GSnp+L
219958,"02/12/2016 12:30:10","-1:00","simonb","Warning","ALARM VACUUM SENSOR  Off",,N7+BvT
219959,"02/12/2016 12:30:10","-1:00","simonb","Alarm","ALARM PROFIBUS NODE 3 (ENCODER)  Off",,Npt+oI
219960,"02/12/2016 12:30:10","-1:00","simonb","Alarm","ALARM PROFIBUS NODE 4 (PC)  Off",,fc0kra
219961,"02/12/2016 12:30:10","-1:00","simonb","Alarm","ALARM TURRET MOTOR NOT READY  Off",,udEYYv
219962,"02/12/2016 12:30:10","-1:00","simonb","Alarm","ALARM HOMING NOT DONE TURRET MOTOR  Off",,DXChUr
219963,"02/12/2016 12:30:10","-1:00","simonb","Alarm","ALARM INFEED BELT MOTOR  Off",,nxlY0a
219964,"02/12/2016 12:30:10","-1:00","simonb","Alarm","EMERGENCY  Off",,1+HqCO
219965,"02/12/2016 12:30:13","-1:00","simonb","Alarm","ALARM ROTATION MOTOR  Off",,0bBnB/
219966,"02/12/2016 12:30:13","-1:00","simonb","Alarm","ALARM ROTATION MOTOR 2  Off",,kAQFMf
219967,"02/12/2016 12:30:13","-1:00","simonb","Alarm","ALARM ROTATION MOTOR 3  Off",,dlUlui
219968,"02/12/2016 12:30:13","-1:00","simonb","Warning","PVSI NOT READY  Off",,b0dtgk
219969,"02/12/2016 12:30:16","-1:00","simonb","Warning","PVSI NOT RUNNING   Off",,SIZyn9
219970,"02/12/2016 12:31:24","-1:00","simonb","Warning","PVSI NOT READY  On",,Iv1NK5
219971,"02/12/2016 12:32:31","-1:00","simonb","User administration","User logged off.",,7ri6FX
219972,"02/12/2016 12:32:31","-1:00",,"Tag: Cicli continui\UserLevel","Change the value of the 'Cicli continui\UserLevel' tag from '0' to '0' by entering '0'.",,wwKvgw
219973,"02/12/2016 12:32:31","-1:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,GdgDob
219974,"02/12/2016 12:32:32","-1:00",,"Warning","PVSI NOT READY  Off",,RbTlG2
219975,"02/12/2016 12:32:32","-1:00",,"Warning","PVSI AND WINCC PRODUCT DIFFERENT  Off",,/UZ06m
219976,"02/12/2016 12:32:34","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,XijW3y
219977,"02/12/2016 12:32:34","-1:00",,"Alarm","EMERGENCY  On",,skY6qD
219978,"02/12/2016 12:32:34","-1:00",,"Alarm","COVER OPEN 3  On",,pXvWtE
219979,"02/12/2016 12:32:35","-1:00",,"Alarm","ALARM ROTATION MOTOR  On",,h7Hzqx
219980,"02/12/2016 12:32:35","-1:00",,"Alarm","ALARM ROTATION MOTOR 2  On",,siYHlp
219981,"02/12/2016 12:32:35","-1:00",,"Alarm","ALARM ROTATION MOTOR 3  On",,LYnahJ
219982,"02/12/2016 12:35:16","-1:00","System","User administration","User 'simonb' logged on with group 'Supervisor'.",,f9GzwZ
219983,"02/12/2016 12:35:19","-1:00","simonb","Alarm","WARNING MISSING LOGIN OPERATION  Off",,GrLaJf
219984,"02/12/2016 12:35:19","-1:00","simonb","Alarm","COVER OPEN 3  Off",,ZYjpMo
219985,"02/12/2016 12:35:19","-1:00","simonb","Alarm","ALARM INFEED BELT MOTOR  Off",,eIf70d
219986,"02/12/2016 12:35:19","-1:00","simonb","Alarm","EMERGENCY  Off",,n6+5RG
219987,"02/12/2016 12:35:26","-1:00","simonb","Alarm","ALARM ROTATION MOTOR  Off",,BGSYep
219988,"02/12/2016 12:35:26","-1:00","simonb","Alarm","ALARM ROTATION MOTOR 2  Off",,e5Hb4n
219989,"02/12/2016 12:35:26","-1:00","simonb","Alarm","ALARM ROTATION MOTOR 3  Off",,dOTNwO
