"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"19/04/2017 08:06:54","-1:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,UQ4Vlv
275502,"19/04/2017 08:06:54","-1:00","System","Logs","Exporting a log.",,KwpSE3
275503,"19/04/2017 08:07:07","-1:00",,"Recipe","Loading recipe number 3 ( 50ml Production ) on the interface.",,AXoV5Z
275504,"19/04/2017 08:07:08","-1:00",,"Recipe","Data trasfered to PLC",,EuHQIL
275505,"19/04/2017 08:07:08","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,XVRnbb
275506,"19/04/2017 08:07:08","-1:00",,"Alarm","ALARM ROTATION MOTOR  On",,wiqCu1
275507,"19/04/2017 08:07:08","-1:00",,"Alarm","ALARM ROTATION MOTOR 2  On",,jrrkFD
275508,"19/04/2017 08:07:08","-1:00",,"Alarm","ALARM ROTATION MOTOR 3  On",,HD5h5N
275509,"19/04/2017 08:07:08","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  On",,Ny8Kvu
275510,"19/04/2017 08:07:08","-1:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,KhhF0f
275511,"19/04/2017 08:07:08","-1:00",,"Warning","ALARM VACUUM SENSOR  On",,8KiNEC
275512,"19/04/2017 08:07:08","-1:00",,"Warning","PVSI NOT READY  On",,pCxdyN
275513,"19/04/2017 08:07:08","-1:00",,"Warning","PVSI AND WINCC PRODUCT DIFFERENT  On",,2nv4Y4
275514,"19/04/2017 08:07:08","-1:00",,"Warning","PVSI NOT RUNNING   On",,CUkh0l
275515,"19/04/2017 08:07:08","-1:00",,"Warning","WARNING EMPTY PROGRAM ACTIVATED  On",,9eZ9Ky
275516,"19/04/2017 08:07:08","-1:00",,"Alarm","EMERGENCY  On",,7/wlur
275517,"19/04/2017 08:07:08","-1:00",,"Alarm","COVER OPEN 1  On",,hfZ6pn
275518,"19/04/2017 08:07:08","-1:00",,"Alarm","COVER OPEN 2  On",,swqglT
275519,"19/04/2017 08:07:08","-1:00",,"Alarm","ALARM PROFIBUS NODE 3 (ENCODER)  On",,nap9NF
275520,"19/04/2017 08:07:08","-1:00",,"Alarm","ALARM PROFIBUS NODE 4 (PC)  On",,p+1xer
275521,"19/04/2017 08:07:08","-1:00",,"Alarm","ALARM TURRET MOTOR NOT READY  On",,1fNnxt
275522,"19/04/2017 08:07:08","-1:00",,"Alarm","ALARM HOMING NOT DONE TURRET MOTOR  On",,F7F3E4
275523,"19/04/2017 08:07:12","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  Off",,ie0kK7
275524,"19/04/2017 08:09:25","-1:00","System","User administration","User 'robj' has unsuccessfully attempted to log on 1 times in succession.",,jWaBGc
275525,"19/04/2017 08:09:31","-1:00","System","User administration","User 'robj' logged on with group 'Operator'.",,Pl4NXI
275526,"19/04/2017 08:09:43","-1:00","robj","Warning","PVSI NOT RUNNING   Off",,6SIi7W
275527,"19/04/2017 08:10:11","-1:00","robj","Alarm","WARNING MISSING LOGIN OPERATION  Off",,j3/6TP
275528,"19/04/2017 08:10:12","-1:00","robj","Warning","ALARM VACUUM SENSOR  Off",,Tr0/BX
275529,"19/04/2017 08:10:12","-1:00","robj","Warning","PVSI NOT READY  Off",,Rj4d31
275530,"19/04/2017 08:10:12","-1:00","robj","Warning","PVSI AND WINCC PRODUCT DIFFERENT  Off",,SS20Bz
275531,"19/04/2017 08:10:12","-1:00","robj","Alarm","ALARM PROFIBUS NODE 3 (ENCODER)  Off",,Qyizva
275532,"19/04/2017 08:10:12","-1:00","robj","Alarm","ALARM PROFIBUS NODE 4 (PC)  Off",,A8m1T/
275533,"19/04/2017 08:10:12","-1:00","robj","Alarm","ALARM TURRET MOTOR NOT READY  Off",,2iBrrK
275534,"19/04/2017 08:10:12","-1:00","robj","Alarm","ALARM HOMING NOT DONE TURRET MOTOR  Off",,CG/FaX
275535,"19/04/2017 09:01:52","-1:00","robj","Alarm","COVER OPEN 1  Off",,SqzPnr
275536,"19/04/2017 09:01:52","-1:00","robj","Alarm","COVER OPEN 2  Off",,SANU/R
275537,"19/04/2017 09:01:52","-1:00","robj","Alarm","ALARM INFEED BELT MOTOR  Off",,jqUhRl
275538,"19/04/2017 09:01:52","-1:00","robj","Alarm","EMERGENCY  Off",,CbdIyR
275539,"19/04/2017 09:01:53","-1:00","robj","Alarm","ALARM ROTATION MOTOR  Off",,PuYTYE
275540,"19/04/2017 09:01:53","-1:00","robj","Alarm","ALARM ROTATION MOTOR 2  Off",,KWq/64
275541,"19/04/2017 09:01:53","-1:00","robj","Alarm","ALARM ROTATION MOTOR 3  Off",,jT2SgD
275542,"19/04/2017 09:01:54","-1:00","robj","Alarm","""OPERATION DENIED , START PRODUCTION REQUIRED.""  On",,GQdMWd
275543,"19/04/2017 09:09:06","-1:00","System","User administration","User logged off.",,5k4DST
275544,"19/04/2017 09:09:06","-1:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,Ycz2P8
275545,"19/04/2017 09:19:00","-1:00","nikkid","User administration","User 'nikkid' logged on with group 'Operator'.",,5EcXbr
275546,"19/04/2017 09:22:53","-1:00","nikkid","Warning","WARNING EMPTY PROGRAM ACTIVATED  Off",,b3gPj5
275547,"19/04/2017 09:22:57","-1:00","nikkid","Alarm","""OPERATION DENIED , START PRODUCTION REQUIRED.""  Off",,h6KY/N
275548,"19/04/2017 09:22:57","-1:00","nikkid","Alarm","WARNING MISSING LOGIN OPERATION  Off",,zE51SA
275549,"19/04/2017 09:22:57","-1:00","nikkid","Alarm","""OPERATION DENIED , START PRODUCTION REQUIRED.""  On",,/mOedv
275550,"19/04/2017 09:23:00","-1:00","nikkid","Alarm","""OPERATION DENIED , START PRODUCTION REQUIRED.""  Off",,UfySsa
275551,"19/04/2017 09:23:02","-1:00","nikkid","Alarm","""OPERATION DENIED , START PRODUCTION REQUIRED.""  On",,Q4j+3r
275552,"19/04/2017 09:23:07","-1:00","nikkid","Alarm","""OPERATION DENIED , START PRODUCTION REQUIRED.""  Off",,WErHd4
275553,"19/04/2017 09:23:17","-1:00","nikkid","Warning","WARNING INFEED BELT MINIM LOAD  On",,2Fo+e0
275554,"19/04/2017 09:23:47","-1:00","nikkid","Alarm","ALARM MISSING CONTAINERS ON THE LOADING BELT  On",,xeHTn7
275555,"19/04/2017 09:23:47","-1:00","nikkid","Warning","WARNING INFEED BELT MINIM LOAD  Off",,BujBzN
275556,"19/04/2017 09:24:01","-1:00","nikkid","Alarm","ALARM INFEED BELT MOTOR  On",,j9tal4
275557,"19/04/2017 09:24:01","-1:00","nikkid","Alarm","EMERGENCY  On",,kDSEZq
275558,"19/04/2017 09:24:01","-1:00","nikkid","Alarm","COVER OPEN 4  On",,4THjPa
275559,"19/04/2017 09:24:01","-1:00","nikkid","Alarm","ALARM ROTATION MOTOR  On",,ETC+fI
275560,"19/04/2017 09:24:01","-1:00","nikkid","Alarm","ALARM ROTATION MOTOR 2  On",,8/dMWe
275561,"19/04/2017 09:24:01","-1:00","nikkid","Alarm","ALARM ROTATION MOTOR 3  On",,cQqnDR
275562,"19/04/2017 09:24:16","-1:00","nikkid","Warning","WARNING EMPTY PROGRAM ACTIVATED  On",,Tcdk78
275563,"19/04/2017 09:24:19","-1:00","nikkid","Alarm","ALARM MISSING CONTAINERS ON THE LOADING BELT  Off",,xod8fN
275564,"19/04/2017 09:24:19","-1:00","nikkid","Alarm","COVER OPEN 4  Off",,9RfZal
275565,"19/04/2017 09:24:19","-1:00","nikkid","Alarm","EMERGENCY  Off",,KZhT5i
275566,"19/04/2017 09:24:19","-1:00","nikkid","Alarm","ALARM INFEED BELT MOTOR  Off",,8NS67R
275567,"19/04/2017 09:24:21","-1:00","nikkid","Alarm","ALARM ROTATION MOTOR  Off",,LyMyKj
275568,"19/04/2017 09:24:21","-1:00","nikkid","Alarm","ALARM ROTATION MOTOR 2  Off",,nPLjfM
275569,"19/04/2017 09:24:21","-1:00","nikkid","Alarm","ALARM ROTATION MOTOR 3  Off",,vgyjDk
275570,"19/04/2017 09:25:20","-1:00","nikkid","Alarm","ALARM INFEED BELT MOTOR  On",,17QZ/p
275571,"19/04/2017 09:25:20","-1:00","nikkid","Alarm","EMERGENCY  On",,dSHAES
275572,"19/04/2017 09:25:20","-1:00","nikkid","Alarm","COVER OPEN 4  On",,VkROG2
275573,"19/04/2017 09:25:21","-1:00","nikkid","Alarm","ALARM ROTATION MOTOR  On",,3C0ghz
275574,"19/04/2017 09:25:21","-1:00","nikkid","Alarm","ALARM ROTATION MOTOR 2  On",,1herCi
275575,"19/04/2017 09:25:21","-1:00","nikkid","Alarm","ALARM ROTATION MOTOR 3  On",,p02WoF
275576,"19/04/2017 09:25:22","-1:00","nikkid","Alarm","COVER OPEN 3  On",,wyrMjG
275577,"19/04/2017 09:25:58","-1:00","nikkid","Alarm","COVER OPEN 1  On",,NRMMIk
275578,"19/04/2017 09:25:58","-1:00","nikkid","Alarm","COVER OPEN 2  On",,De/eNu
275579,"19/04/2017 09:36:55","-1:00","nikkid","Warning","WARNING EMPTY PROGRAM ACTIVATED  Off",,vxS1yr
275580,"19/04/2017 09:36:58","-1:00","nikkid","Alarm","COVER OPEN 1  Off",,/W/7c/
275581,"19/04/2017 09:36:58","-1:00","nikkid","Alarm","COVER OPEN 2  Off",,Wl3y1A
275582,"19/04/2017 09:36:58","-1:00","nikkid","Alarm","COVER OPEN 3  Off",,M2BzjM
275583,"19/04/2017 09:36:58","-1:00","nikkid","Alarm","COVER OPEN 4  Off",,pXq9fu
275584,"19/04/2017 09:36:58","-1:00","nikkid","Alarm","EMERGENCY  Off",,9HY5XI
275585,"19/04/2017 09:36:58","-1:00","nikkid","Alarm","ALARM INFEED BELT MOTOR  Off",,hsHN6a
275586,"19/04/2017 09:37:02","-1:00","nikkid","Alarm: 3","Acknowledgment of 3 alarm from PLC MCA200+LKD; the cited messages is part of alarm group 1.",,PxrVdO
275587,"19/04/2017 09:37:02","-1:00","nikkid","Alarm:","ALARM MISSING COMUNICATION WITH INTERFACE  Acknowledgment",,XsnayN
275588,"19/04/2017 09:37:02","-1:00","nikkid","Alarm:","ALARM PROFIBUS NODE 3 (ENCODER)  Acknowledgment",,0YS28l
275589,"19/04/2017 09:37:02","-1:00","nikkid","Alarm:","ALARM PROFIBUS NODE 4 (PC)  Acknowledgment",,BuVNIe
275590,"19/04/2017 09:37:02","-1:00","nikkid","Alarm:","ALARM TURRET MOTOR NOT READY  Acknowledgment",,zwhknj
275591,"19/04/2017 09:37:02","-1:00","nikkid","Alarm:","ALARM HOMING NOT DONE TURRET MOTOR  Acknowledgment",,C2TpCq
275592,"19/04/2017 09:37:02","-1:00","nikkid","Alarm:","WARNING MISSING LOGIN OPERATION  Acknowledgment",,BTaVWy
