file_name,line_number,exception,data
files/vial_audit/AuditTrail0_20180202_072645_SPAMI-PC.1.csv,4,unconverted data remains:  AM,"OrderedDict([('record_id', '0'), ('time_stamp', '2/2/2018 8:26:45 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Log files closed.'), ('comment', ''), ('check_sum', 'bEJwRt')])"
files/vial_audit/AuditTrail0_20180131_140321_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0c\x0e\x0f\x11\x0f\x11\x13\x0f\x12\x11\x0f\x0f\x0e\x0f\x0f\x0f\x10\x11\x11\x12\x11\x12\x12\x11\x11\x11\x11\x16\x14\x12\x13\x11\x11\x0f\x0f\x0e'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180202_072645_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0c'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180207_091418_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0e\x10\x10\x15\x1a\x15\x10\x0f\x0e\x0f\x10\x0f\x0e'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180206_153531_SPAMI-PC.1.csv,ALL,"OrderedDict([('record_id', '\x0e\x0e\x0c'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180205_113106_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0b\x0b\x0b\x0b\x0b\t\x0b\x0b'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180131_150017_SPAMI-PC.csv,ALL,'utf-8' codec can't decode byte 0x80 in position 639: invalid start byte,
files/vial_audit/AuditTrail0_20180202_071833_SPAMI-PC.1.csv,2,unconverted data remains:  AM,"OrderedDict([('record_id', '0'), ('time_stamp', '2/2/2018 8:18:33 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Application'), ('description', ""New log file during run of WinCC Runtime Advanced V13.00 + SP01 HF9 on HMI device SPAMI-PC. Project: 'PSP511701V17.LKD - 0' Build 313, created with WinCC Advanced V13 SP2.""), ('comment', ''), ('check_sum', '1/xWrh')])"
files/vial_audit/AuditTrail0_20180202_071833_SPAMI-PC.1.csv,3,unconverted data remains:  AM,"OrderedDict([('record_id', '56633'), ('time_stamp', '2/2/2018 8:18:33 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Exporting a log.'), ('comment', ''), ('check_sum', 'nS4uH0')])"
files/vial_audit/AuditTrail0_20180202_071833_SPAMI-PC.1.csv,4,unconverted data remains:  AM,"OrderedDict([('record_id', '0'), ('time_stamp', '2/2/2018 8:18:34 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Log files closed.'), ('comment', ''), ('check_sum', 'GW/oCD')])"
files/vial_audit/AuditTrail0_20180111_093025_SPAMI-PC.csv,ALL,'utf-8' codec can't decode byte 0x81 in position 101: invalid start byte,
files/vial_audit/AuditTrail0_20180206_111121_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0e'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180207_094117_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0f\x0f\x0f'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180205_125205_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0e\x0e\x0e\x0f\x0e'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180206_110111_SPAMI-PC.1.csv,2,unconverted data remains:  PM,"OrderedDict([('record_id', '0'), ('time_stamp', '2/6/2018 12:01:11 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Application'), ('description', ""New log file during run of WinCC Runtime Advanced V13.00 + SP01 HF9 on HMI device SPAMI-PC. Project: 'PSP511701V20.LKD - 0' Build 378, created with WinCC Advanced V13 SP2.""), ('comment', ''), ('check_sum', 'zcUaTe')])"
files/vial_audit/AuditTrail0_20180206_110111_SPAMI-PC.1.csv,3,unconverted data remains:  PM,"OrderedDict([('record_id', '58922'), ('time_stamp', '2/6/2018 12:01:11 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Exporting a log.'), ('comment', ''), ('check_sum', 'IFfKhN')])"
files/vial_audit/AuditTrail0_20180206_110111_SPAMI-PC.1.csv,4,unconverted data remains:  PM,"OrderedDict([('record_id', '0'), ('time_stamp', '2/6/2018 12:01:11 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Log files closed.'), ('comment', ''), ('check_sum', 'lSqpU7')])"
