file_name,line_number,exception,data
files/ampoule_audit/AuditTrail0_20191021_140526_SPAMI-PC.csv,ALL,'utf-8' codec can't decode byte 0xe8 in position 2864: invalid continuation byte,
files/ampoule_audit/AuditTrail0_20191021_142347_SPAMI-PC.csv,ALL,'utf-8' codec can't decode byte 0xe8 in position 2967: invalid continuation byte,
files/ampoule_audit/AuditTrail0_20191014_121157_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '0,""11/10/2018 09:56:15"",""-1:00"",""System"",""Application"",""New log file during run of  on device . Project: \'. - \' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3"",,6DgYdm'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/ampoule_audit/AuditTrail0_20161117_071318_spami-90456842e.csv,ALL,line contains NUL,
files/ampoule_audit/AuditTrail0_20190412_090400_spami-90456842e.csv,ALL,line contains NUL,
files/ampoule_audit/AuditTrail0_20191021_142527_SPAMI-PC.csv,ALL,'utf-8' codec can't decode byte 0xe8 in position 3128: invalid continuation byte,
